#"lineage"	"l.bo"	"l.ch"	"l.gn"	"l.ps"	"w.ps"	"l.sc"	"a.sc"	"n.da"	"n.va"	"l.c2"	"l.d"	"l.e"	"l.f"	"l.ge"	"w.ge"	"l.3a"	"a.3a"	"n.ri"	"a.1b"	"a.1a"	"a.2a"	"l.tb1"	"l.ts1"	"l.s1"	"l.e1"	"n.e1"	"l.tb2"	"l.ts2"	"l.s2"	"l.e2"	"n.e2"	"l.l1"	"l.l2"	"l.ft.1"	"l.ft.1.1"	"l.ft.2"	"l.ft.2.1"	"l.l."
"MT-1"	238	22	27	38	36	57	25	73	66	36	50	50	35	17	20	20	17	8	11	8	27	8	8	8	11	7	7	8	9	10	7	29	12	23	25	10	27	10
"MT-1"	274	20	27	39	35	62	26	76	70	37	58	52	30	15	21	23	17	11	12	8	25	7	8	8	11	8	7	7	9	10	8	30	10	25	27	10	27	10
"MT-1"	190	20	27	36	44	58	25	76	62	38	54	54	27	15	23	22	18	11	11	7	23	8	9	9	9	7	6	8	9	10	7	28	12	20	27	11	25	9
"MT-1"	210	20	25	39	43	55	24	73	66	39	57	54	32	17	22	23	17	10	12	8	24	7	8	9	11	7	6	8	9	9	7	27	12	21	26	10	27	9
"MT-1"	212	20	24	40	42	55	25	78	67	35	53	63	32	14	20	24	16	12	10	8	22	8	8	10	9	8	7	8	9	10	8	30	12	20	26	10	25	11
"MT-1"	213	19	22	38	40	60	25	78	68	40	56	65	26	16	22	25	17	10	12	9	23	8	8	9	11	7	7	8	9	10	7	29	11	22	27	11	27	10
"MT-1"	230	21	27	38	39	52	28	69	56	40	66	64	30	16	23	20	16	11	11	9	22	8	8	9	9	7	6	7	9	10	7	30	10	19	30	10	24	10
"MT-1"	229	21	26	39	40	64	27	72	62	38	65	69	31	17	23	27	16	10	11	9	22	8	8	9	9	7	6	7	9	10	7	29	11	20	29	11	26	10
"MT-1"	259	20	25	39	39	62	27	75	68	40	50	67	30	17	23	20	18	12	11	9	22	7	8	9	11	7	7	8	9	10	7	32	14	20	26	10	25	11
"MT-1"	290	20	25	39	37	60	26	67	56	40	51	58	29	17	21	23	18	10	12	9	26	8	9	10	9	7	7	7	10	9	7	30	13	20	29	11	25	10
"MT-1"	225	22	25	38	40	60	24	72	62	40	60	63	30	15	22	20	18	10	11	8	21	8	8	9	9	7	7	7	9	9	7	29	9	21	25	9	25	11
"MT-1"	255	21	26	38	37	59	25	74	67	39	59	59	31	15	24	26	18	10	12	8	24	8	9	9	10	7	7	9	10	10	7	28	9	20	26	10	27	11
"MT-1"	239	23	22	38	40	54	26	76	59	36	50	60	32	14	21	20	19	11	12	7	21	7	8	9	10	7	7	8	9	9	7	28	9	20	25	9	23	10
"MT-1"	252	22	23	38	42	55	25	76	60	39	55	65	28	15	23	21	17	10	13	9	27	7	9	9	10	7	6	7	9	9	7	27	12	20	26	10	25	11
"MT-1"	249	21	23	36	38	53	24	77	64	38	55	67	28	15	23	26	17	12	13	7	24	7	8	9	9	7	7	8	10	10	7	34	10	21	28	10	24	10
"MT-1"	252	23	23	35	41	60	25	69	65	40	50	55	30	16	23	22	17	9	12	9	25	8	8	9	9	7	7	9	10	9	7	28	12	20	26	10	28	12
"MT-1"	240	21	23	39	35	64	24	76	72	38	57	56	31	14	25	25	18	11	11	8	25	9	9	9	9	8	7	8	10	9	7	28	13	20	24	12	25	11
"MT-1"	242	20	23	40	37	62	26	70	68	40	53	55	33	15	22	20	18	12	12	9	24	9	8	10	10	8	8	7	9	10	8	30	12	19	27	10	25	10
"MT-1"	248	19	24	39	39	64	27	80	74	45	59	56	26	16	22	28	16	10	12	7	25	8	8	10	9	7	8	9	10	10	7	26	12	18	25	12	27	11
"MT-1"	248	19	27	39	41	55	27	76	74	43	60	54	30	14	23	27	17	8	11	9	23	8	9	9	9	7	7	9	9	10	8	33	10	18	27	11	28	12
"MT-1"	260	24	26	40	41	60	26	73	69	43	61	55	30	17	24	26	18	12	12	8	24	9	9	9	11	8	6	9	10	9	7	28	12	20	28	12	27	11
"MT-1"	265	24	27	39	40	61	26	78	71	42	60	52	30	14	22	24	16	11	13	8	25	8	9	9	10	8	8	8	10	9	7	27	11	21	26	10	26	11
"MT-1"	248	23	26	40	43	61	25	73	68	42	56	53	33	17	26	20	19	10	13	8	25	8	8	10	10	7	7	9	10	9	7	29	13	18	29	10	25	13
"MT-1"	235	22	25	41	42	67	26	73	71	39	56	52	31	15	25	23	17	10	12	8	27	9	9	10	9	7	8	8	9	9	8	28	14	22	26	11	25	12
"MT-1"	264	21	23	39	38	56	28	81	74	42	55	58	32	16	24	25	18	10	12	7	26	7	8	10	10	7	8	7	9	10	7	29	10	21	25	10	24	11
"MT-1"	243	19	24	40	40	59	27	75	72	40	58	63	29	15	23	20	19	11	11	9	24	8	8	9	11	8	7	9	10	9	7	28	12	20	25	9	26	11
"MT-1"	251	21	25	41	36	61	24	76	69	43	56	67	32	16	24	25	19	12	12	8	25	9	9	10	9	7	7	9	9	10	7	27	11	20	23	10	25	10
"MT-1"	269	22	25	40	42	56	28	71	66	42	65	69	33	14	24	28	17	8	13	7	23	8	8	10	10	7	8	8	10	10	8	27	12	21	28	12	26	13
"MT-1"	237	23	21	39	40	59	27	72	67	38	66	62	30	15	24	23	18	8	12	9	27	9	8	9	10	7	8	7	10	9	7	28	14	18	28	12	24	12
"MT-1"	236	20	22	40	39	60	25	74	68	39	63	66	29	17	22	25	19	10	13	9	25	9	9	9	10	7	7	8	9	9	7	27	14	19	26	10	28	13
"MT-2"	238	19	21	39	41	70	25	67	64	41	56	45	29	16	21	19	16	12	12	7	23	8	8	10	10	8	7	8	9	9	7	27	12	21	26	10	24	9
"MT-2"	240	19	22	37	40	56	24	69	64	40	42	48	26	15	23	22	16	10	12	9	24	7	7	10	9	8	6	7	10	9	7	27	13	16	25	8	23	10
"MT-2"	193	20	23	38	43	49	26	67	64	39	58	50	27	14	23	20	17	10	11	8	23	7	7	10	9	7	7	8	10	10	7	28	12	18	26	8	23	10
"MT-2"	188	20	25	37	40	57	25	73	68	38	41	56	29	15	23	16	18	11	11	9	25	8	8	9	9	7	7	8	9	9	7	30	14	17	24	11	24	9
"MT-2"	270	20	24	37	41	61	26	69	69	37	49	48	30	14	23	19	16	11	11	8	23	8	7	9	9	7	7	7	10	9	7	31	11	16	23	9	22	12
"MT-2"	271	21	23	38	41	55	28	69	68	37	50	39	31	15	20	24	16	12	11	7	23	8	8	8	9	8	7	8	8	9	7	33	12	19	23	11	26	11
"MT-2"	265	21	24	35	38	54	24	69	65	38	45	44	31	13	23	25	18	9	10	8	22	9	8	8	9	7	8	9	8	10	7	31	11	17	24	9	27	10
"MT-2"	220	18	22	37	41	58	26	64	61	36	45	32	30	13	23	23	17	11	12	8	25	8	8	9	10	7	7	8	10	11	7	27	13	16	26	11	22	9
"MT-2"	218	20	23	36	38	52	23	64	69	34	61	56	27	15	23	28	18	11	12	9	24	8	8	10	10	7	7	8	11	10	7	28	14	16	22	8	28	10
"MT-2"	256	20	24	39	42	54	26	65	63	40	50	30	29	13	22	20	18	10	10	8	23	9	9	10	10	7	7	8	11	11	7	27	11	16	22	10	27	12
"MT-2"	240	20	24	39	41	52	25	66	62	38	61	31	26	14	21	21	16	11	12	9	25	9	9	9	10	8	8	9	10	11	7	31	12	18	24	10	24	11
"MT-2"	250	21	23	38	40	52	25	71	69	36	58	41	24	15	21	26	15	13	9	7	22	9	8	9	9	8	8	8	9	9	7	30	12	19	25	10	24	12
"MT-2"	232	21	21	36	39	67	24	59	60	32	59	45	31	15	23	20	15	12	10	8	24	8	7	8	9	7	7	8	8	9	7	33	13	17	26	11	23	10
"MT-2"	170	17	21	35	37	59	22	64	62	40	58	42	27	16	23	25	17	12	9	7	21	9	8	9	10	7	7	8	10	10	7	31	14	16	26	10	26	9
"MT-2"	200	19	23	40	42	53	24	66	69	41	46	54	25	14	20	20	18	13	11	8	22	7	7	9	10	7	6	7	10	11	7	30	12	16	25	9	24	9
"MT-2"	185	18	24	35	38	63	21	72	69	39	59	53	29	15	23	20	16	12	11	7	22	8	9	10	9	7	6	8	10	9	7	29	11	21	23	9	25	10
"MT-2"	222	18	25	37	40	59	24	67	64	37	49	44	28	14	23	22	16	9	11	8	23	9	8	9	9	7	8	8	9	10	7	28	12	20	24	11	26	11
"MT-2"	258	19	24	36	36	53	22	67	61	42	61	43	29	15	22	18	17	12	12	8	24	8	8	9	10	8	7	8	10	11	7	29	13	18	23	11	27	11
"MT-2"	219	17	23	38	40	49	25	67	66	35	56	40	24	13	23	18	17	12	9	7	21	8	8	8	9	7	8	9	8	9	7	30	12	17	25	8	22	11
"MT-2"	271	20	25	37	40	56	25	62	61	38	42	37	30	13	22	26	17	10	10	8	24	8	8	10	10	8	7	8	11	10	7	29	11	18	26	10	26	12
"MT-2"	224	19	23	35	38	59	24	62	59	40	61	31	26	14	22	20	16	13	10	8	22	7	7	10	10	7	6	7	10	11	7	30	13	20	23	11	26	11
"MT-2"	252	18	24	37	41	57	24	64	59	41	60	40	29	15	22	17	17	9	10	8	23	9	8	9	10	8	8	8	10	10	7	31	14	17	23	8	23	12
"MT-2"	242	18	22	38	43	59	25	73	68	37	57	39	27	16	22	23	16	12	11	8	24	8	8	10	10	7	7	8	11	10	7	32	14	16	24	9	24	12
"MT-2"	225	21	23	38	44	58	24	64	61	36	61	39	25	16	23	22	16	12	9	8	21	8	8	9	9	7	6	7	9	9	7	31	12	16	26	10	25	12
"MT-2"	230	20	23	37	40	60	26	66	63	41	52	40	29	14	21	20	16	11	12	9	26	8	8	10	9	7	8	9	10	10	7	28	12	17	25	10	23	10
"MT-2"	266	21	25	38	41	55	25	69	66	35	45	41	30	15	21	24	16	12	12	9	25	8	7	10	10	7	7	7	11	10	7	27	12	19	24	9	23	9
